generation,idx,cpu_m,mem_mib,replicas,f1,f2,f3,throughput_rps,cpu_throttle_rate,mem_peak_ratio,rank,crowding_distance,status,eval_time_s
0,0,400,256,2,0.5365714902101156,1.3,-14.800008267146158,14.800008267146158,0.7767257440921063,0.296417236328125,0,0.24921877967648137,ok,299.656489610672
0,1,400,512,3,0.43958491658367504,2.7,-21.765621751517582,21.765621751517582,0.7312816495736001,0.14788818359375,0,0.3119808236511196,ok,305.48762583732605
0,2,100,512,1,0.5131969874523684,0.6,-2.2678832582346895,2.2678832582346895,0.8782235037133306,0.14817047119140625,0,0.19414767022426513,ok,236.768536567688
0,3,550,128,1,0.6964431059428549,0.675,-10.464654190363671,10.464654190363671,0.8771696591513347,0.515716552734375,0,0.06666455776954061,ok,176.67034888267517
0,4,200,640,4,10.0,3.3,0.0,0.0,0.0,0.0,2,inf,timeout,305.25795578956604
0,5,550,896,3,0.3922345575184185,4.275,-30.443583378631963,30.443583378631963,0.6997000023136227,0.08476911272321429,1,inf,ok,262.8965163230896
0,6,350,256,3,0.49598607319832383,1.7999999999999998,-18.38702765932118,18.38702765932118,0.6995527128028977,0.29241943359375,0,0.22746608462437212,ok,277.4902641773224
0,7,300,384,1,0.5145042633064335,0.675,-5.619685867456211,5.619685867456211,0.831040997315992,0.197967529296875,0,0.2270413951272185,ok,220.36247539520264
0,8,500,256,1,0.5826007879522566,0.75,-10.097035538681974,10.097035538681974,0.8640998913342007,0.3011016845703125,0,0.30390397324094887,ok,177.0424771308899
0,9,300,768,1,0.4917111663011365,1.05,-5.680674454037126,5.680674454037126,0.8885228371595646,0.09489949544270833,1,inf,ok,168.881272315979
0,10,600,640,1,0.5021595682125802,1.225,-11.441201463044592,11.441201463044592,0.8925271442376604,0.1117919921875,0,0.2588595635502148,ok,217.0720293521881
0,11,350,896,1,0.4260415977216386,1.225,-6.683718189076749,6.683718189076749,0.7665642222289915,0.08551897321428571,0,0.16599061703066176,ok,163.004075050354
1,0,550,128,1,0.6964431059428549,0.675,-10.464654190363671,10.464654190363671,0.8771696591513347,0.515716552734375,0,0.06666455776954061,ok,176.67034888267517
1,1,550,896,3,0.3922345575184185,4.275,-30.443583378631963,30.443583378631963,0.6997000023136227,0.08476911272321429,1,inf,ok,262.8965163230896
1,2,100,384,1,0.542488116037321,0.475,-2.2337355405800783,2.2337355405800783,0.9057871858506837,0.17918904622395834,0,inf,ok,173.43614315986633
1,3,500,512,4,0.41589364386408,4.0,-35.13196167541251,35.13196167541251,0.6868211622398788,0.14496612548828125,0,0.44200626169304247,ok,360.5090260505676
1,4,400,896,3,0.3765836170365795,3.8249999999999997,-21.9915457167165,21.9915457167165,0.6743185315061947,0.07884870256696429,0,0.27859575700996203,ok,334.25616788864136
1,5,500,256,1,0.5826007879522566,0.75,-10.097035538681974,10.097035538681974,0.8640998913342007,0.3011016845703125,0,0.30390397324094887,ok,177.0424771308899
1,6,400,512,3,0.43958491658367504,2.7,-21.765621751517582,21.765621751517582,0.7312816495736001,0.14788818359375,0,0.3119808236511196,ok,305.48762583732605
1,7,350,256,3,0.49598607319832383,1.7999999999999998,-18.38702765932118,18.38702765932118,0.6995527128028977,0.29241943359375,0,0.22746608462437212,ok,277.4902641773224
1,8,400,512,4,0.4204019990031463,3.6,-27.309649273369615,27.309649273369615,0.6991719179281676,0.141632080078125,0,0.144575620959896,ok,363.94285249710083
1,9,300,512,3,0.42182421730487996,2.4000000000000004,-15.679680198579934,15.679680198579934,0.7088370332425724,0.1348114013671875,0,0.3816037671144045,ok,298.1822142601013
1,10,450,384,1,0.4646192242056201,0.825,-8.604450076800818,8.604450076800818,0.7318812706768651,0.197357177734375,0,0.2073648262715382,ok,212.95859169960022
1,11,300,384,2,0.47165369681430824,1.35,-11.411553030047108,11.411553030047108,0.7500090537848665,0.19329833984375,0,0.29388883034490587,ok,186.4557991027832
2,0,100,384,1,0.542488116037321,0.475,-2.2337355405800783,2.2337355405800783,0.9057871858506837,0.17918904622395834,0,inf,ok,173.43614315986633
2,1,550,512,4,0.35760190997443086,4.2,-38.632458282060654,38.632458282060654,0.5675445181910492,0.1476593017578125,0,inf,ok,357.32026648521423
2,2,500,128,1,0.6976889417809322,0.625,-9.671618218248206,9.671618218248206,0.7969281765306145,0.59844970703125,0,0.1746727637855306,ok,177.34349179267883
2,3,400,128,2,0.6964290774500002,1.05,-15.344563195908488,15.344563195908488,0.8099418951343754,0.582916259765625,0,0.27036802510673613,ok,193.02776718139648
2,4,350,256,3,0.49598607319832383,1.7999999999999998,-18.38702765932118,18.38702765932118,0.6995527128028977,0.29241943359375,0,0.22746608462437212,ok,277.4902641773224
2,5,400,512,3,0.43958491658367504,2.7,-21.765621751517582,21.765621751517582,0.7312816495736001,0.14788818359375,0,0.3119808236511196,ok,305.48762583732605
2,6,400,512,4,0.4204019990031463,3.6,-27.309649273369615,27.309649273369615,0.6991719179281676,0.141632080078125,0,0.144575620959896,ok,363.94285249710083
2,7,400,768,3,0.40922216515498827,3.4499999999999997,-18.528133289400635,18.528133289400635,0.721139032458414,0.0973052978515625,0,0.2316695089672996,ok,343.5830788612366
2,8,500,512,4,0.41589364386408,4.0,-35.13196167541251,35.13196167541251,0.6868211622398788,0.14496612548828125,0,0.44200626169304247,ok,360.5090260505676
2,9,400,896,3,0.3765836170365795,3.8249999999999997,-21.9915457167165,21.9915457167165,0.6743185315061947,0.07884870256696429,0,0.27859575700996203,ok,334.25616788864136
2,10,500,256,1,0.5826007879522566,0.75,-10.097035538681974,10.097035538681974,0.8640998913342007,0.3011016845703125,0,0.30390397324094887,ok,177.0424771308899
2,11,300,384,2,0.47165369681430824,1.35,-11.411553030047108,11.411553030047108,0.7500090537848665,0.19329833984375,0,0.29388883034490587,ok,186.4557991027832
3,0,100,384,1,0.542488116037321,0.475,-2.2337355405800783,2.2337355405800783,0.9057871858506837,0.17918904622395834,0,inf,ok,173.43614315986633
3,1,550,512,4,0.35760190997443086,4.2,-38.632458282060654,38.632458282060654,0.5675445181910492,0.1476593017578125,0,inf,ok,357.32026648521423
3,2,500,128,1,0.6976889417809322,0.625,-9.671618218248206,9.671618218248206,0.7969281765306145,0.59844970703125,0,0.1746727637855306,ok,177.34349179267883
3,3,350,128,4,0.6483604555708727,1.9,-24.983239498349263,24.983239498349263,0.7106003056729955,0.58612060546875,1,inf,ok,362.88416028022766
3,4,400,512,3,0.43958491658367504,2.7,-21.765621751517582,21.765621751517582,0.7312816495736001,0.14788818359375,0,0.3119808236511196,ok,305.48762583732605
3,5,400,768,3,0.40922216515498827,3.4499999999999997,-18.528133289400635,18.528133289400635,0.721139032458414,0.0973052978515625,0,0.2316695089672996,ok,343.5830788612366
3,6,500,512,4,0.41589364386408,4.0,-35.13196167541251,35.13196167541251,0.6868211622398788,0.14496612548828125,0,0.44200626169304247,ok,360.5090260505676
3,7,400,512,4,0.4204019990031463,3.6,-27.309649273369615,27.309649273369615,0.6991719179281676,0.141632080078125,0,0.144575620959896,ok,363.94285249710083
3,8,350,256,3,0.49598607319832383,1.7999999999999998,-18.38702765932118,18.38702765932118,0.6995527128028977,0.29241943359375,0,0.22746608462437212,ok,277.4902641773224
3,9,300,384,2,0.47165369681430824,1.35,-11.411553030047108,11.411553030047108,0.7500090537848665,0.19329833984375,0,0.29388883034490587,ok,186.4557991027832
3,10,400,896,3,0.3765836170365795,3.8249999999999997,-21.9915457167165,21.9915457167165,0.6743185315061947,0.07884870256696429,0,0.27859575700996203,ok,334.25616788864136
3,11,400,256,1,0.5818056940170467,0.65,-7.754630808819138,7.754630808819138,0.887625670260656,0.2759857177734375,0,0.11536462321189808,ok,181.3587236404419
4,0,100,384,1,0.542488116037321,0.475,-2.2337355405800783,2.2337355405800783,0.9057871858506837,0.17918904622395834,0,inf,ok,173.43614315986633
4,1,550,512,4,0.35760190997443086,4.2,-38.632458282060654,38.632458282060654,0.5675445181910492,0.1476593017578125,0,inf,ok,357.32026648521423
4,2,550,128,4,0.5918999116546724,2.7,-39.02833973223414,39.02833973223414,0.5880051455749699,0.595794677734375,0,0.555061950936877,ok,413.30174589157104
4,3,550,128,3,0.7007797619056619,2.0250000000000004,-30.693725378094353,30.693725378094353,0.8048798363113238,0.5966796875,0,0.3836435149556718,ok,147.7056438922882
4,4,300,384,2,0.47165369681430824,1.35,-11.411553030047108,11.411553030047108,0.7500090537848665,0.19329833984375,0,0.29388883034490587,ok,186.4557991027832
4,5,700,128,2,0.6477379663034982,1.65,-27.192597814148638,27.192597814148638,0.7022142138569964,0.59326171875,0,0.2870960776758724,ok,200.53556180000305
4,6,400,768,3,0.40922216515498827,3.4499999999999997,-18.528133289400635,18.528133289400635,0.721139032458414,0.0973052978515625,0,0.2316695089672996,ok,343.5830788612366
4,7,450,512,3,0.430453275508741,2.8499999999999996,-24.565385108515226,24.565385108515226,0.7142238117596695,0.1466827392578125,0,0.24601536223751047,ok,265.0344340801239
4,8,350,256,3,0.49598607319832383,1.7999999999999998,-18.38702765932118,18.38702765932118,0.6995527128028977,0.29241943359375,0,0.22746608462437212,ok,277.4902641773224
4,9,500,512,4,0.41589364386408,4.0,-35.13196167541251,35.13196167541251,0.6868211622398788,0.14496612548828125,0,0.44200626169304247,ok,360.5090260505676
4,10,400,896,3,0.3765836170365795,3.8249999999999997,-21.9915457167165,21.9915457167165,0.6743185315061947,0.07884870256696429,0,0.27859575700996203,ok,334.25616788864136
4,11,500,128,3,0.6213883804580539,1.875,-27.508782643316497,27.508782643316497,0.6542452667754828,0.588531494140625,0,0.23494318670995595,ok,292.4675600528717
5,0,100,384,1,0.542488116037321,0.475,-2.2337355405800783,2.2337355405800783,0.9057871858506837,0.17918904622395834,0,inf,ok,173.43614315986633
5,1,550,512,4,0.35760190997443086,4.2,-38.632458282060654,38.632458282060654,0.5675445181910492,0.1476593017578125,0,inf,ok,357.32026648521423
5,2,550,128,4,0.5918999116546724,2.7,-39.02833973223414,39.02833973223414,0.5880051455749699,0.595794677734375,0,0.555061950936877,ok,413.30174589157104
5,3,100,256,1,0.5584247235986394,0.35,-2.3256397712318364,2.3256397712318364,0.8604102382129037,0.256439208984375,0,0.2721142525215543,ok,187.1758451461792
5,4,300,128,1,0.7245912094937602,0.425,-5.634286193251497,5.634286193251497,0.8845461885187704,0.56463623046875,0,0.3263444493724762,ok,204.7191882133484
5,5,550,128,3,0.7007797619056619,2.0250000000000004,-30.693725378094353,30.693725378094353,0.8048798363113238,0.5966796875,0,0.3836435149556718,ok,147.7056438922882
5,6,450,512,3,0.430453275508741,2.8499999999999996,-24.565385108515226,24.565385108515226,0.7142238117596695,0.1466827392578125,0,0.24601536223751047,ok,265.0344340801239
5,7,400,896,3,0.3765836170365795,3.8249999999999997,-21.9915457167165,21.9915457167165,0.6743185315061947,0.07884870256696429,0,0.27859575700996203,ok,334.25616788864136
5,8,350,768,3,0.4078279361943,3.3000000000000003,-18.27641773589354,18.27641773589354,0.7200544726490167,0.09560139973958333,0,0.5485585147049863,ok,352.6446762084961
5,9,500,512,4,0.41589364386408,4.0,-35.13196167541251,35.13196167541251,0.6868211622398788,0.14496612548828125,0,0.44200626169304247,ok,360.5090260505676
5,10,250,128,3,0.6784562264356486,1.125,-13.085224959510333,13.085224959510333,0.7732637712306724,0.583648681640625,0,0.16938244109526307,ok,285.2334358692169
5,11,500,512,1,0.48058548653742894,1.0,-9.766149376111,9.766149376111,0.8119934218053266,0.14917755126953125,0,0.14869306691004774,ok,214.3210117816925
6,0,100,384,1,0.542488116037321,0.475,-2.2337355405800783,2.2337355405800783,0.9057871858506837,0.17918904622395834,0,inf,ok,173.43614315986633
6,1,550,512,4,0.35760190997443086,4.2,-38.632458282060654,38.632458282060654,0.5675445181910492,0.1476593017578125,0,inf,ok,357.32026648521423
6,2,550,128,4,0.5918999116546724,2.7,-39.02833973223414,39.02833973223414,0.5880051455749699,0.595794677734375,0,0.555061950936877,ok,413.30174589157104
