cpu_m,mem_mib,replicas,f1,f2,f3,rank,crowding_distance,status,eval_time_s
100,384,1,0.542488116037321,0.475,-2.2337355405800783,0,inf,ok,173.43614315986633
550,512,4,0.35760190997443086,4.2,-38.632458282060654,0,inf,ok,357.32026648521423
500,128,1,0.6976889417809322,0.625,-9.671618218248206,0,inf,ok,177.34349179267883
350,128,4,0.6483604555708727,1.9,-24.983239498349263,0,0.5747700151763024,ok,362.88416028022766
400,512,3,0.43958491658367504,2.7,-21.765621751517582,0,0.4550963029988175,ok,305.48762583732605
400,768,3,0.40922216515498827,3.4499999999999997,-18.528133289400635,0,0.4500206525283298,ok,343.5830788612366
500,512,4,0.41589364386408,4.0,-35.13196167541251,0,0.4446216874914217,ok,360.5090260505676
400,512,4,0.4204019990031463,3.6,-27.309649273369615,0,0.39693037270033704,ok,363.94285249710083
350,256,3,0.49598607319832383,1.7999999999999998,-18.38702765932118,0,0.36577064589744573,ok,277.4902641773224
300,384,2,0.47165369681430824,1.35,-11.411553030047108,0,0.3639215119581386,ok,186.4557991027832
400,896,3,0.3765836170365795,3.8249999999999997,-21.9915457167165,0,0.34756717069818366,ok,334.25616788864136
400,256,1,0.5818056940170467,0.65,-7.754630808819138,0,0.306548309471809,ok,181.3587236404419
