cpu_m,mem_mib,replicas,f1,f2,f3,rank,crowding_distance,status,eval_time_s
550,128,1,0.6964431059428549,0.675,-10.464654190363671,0,inf,ok,176.67034888267517
550,896,3,0.3922345575184185,4.275,-30.443583378631963,0,inf,ok,262.8965163230896
100,384,1,0.542488116037321,0.475,-2.2337355405800783,0,inf,ok,173.43614315986633
500,512,4,0.41589364386408,4.0,-35.13196167541251,0,inf,ok,360.5090260505676
400,896,3,0.3765836170365795,3.8249999999999997,-21.9915457167165,0,inf,ok,334.25616788864136
500,256,1,0.5826007879522566,0.75,-10.097035538681974,0,0.5773385813710188,ok,177.0424771308899
400,512,3,0.43958491658367504,2.7,-21.765621751517582,0,0.5295191097133849,ok,305.48762583732605
350,256,3,0.49598607319832383,1.7999999999999998,-18.38702765932118,0,0.4616429424032096,ok,277.4902641773224
400,512,4,0.4204019990031463,3.6,-27.309649273369615,0,0.45607024701616855,ok,363.94285249710083
300,512,3,0.42182421730487996,2.4000000000000004,-15.679680198579934,0,0.2714021538508639,ok,298.1822142601013
450,384,1,0.4646192242056201,0.825,-8.604450076800818,0,0.2671903576846927,ok,212.95859169960022
300,384,2,0.47165369681430824,1.35,-11.411553030047108,0,0.25932729868447735,ok,186.4557991027832
