cpu_m,mem_mib,replicas,f1,f2,f3,crowding_distance,status,eval_time_s
400,256,2,0.5365714902101156,1.3,-14.800008267146158,0.6268290655365674,ok,299.656489610672
400,512,3,0.43958491658367504,2.7,-21.765621751517582,1.3172457780118167,ok,305.48762583732605
100,512,1,0.5131969874523684,0.6,-2.2678832582346895,inf,ok,236.768536567688
550,128,1,0.6964431059428549,0.675,-10.464654190363671,inf,ok,176.67034888267517
550,896,3,0.3922345575184185,4.275,-30.443583378631963,inf,ok,262.8965163230896
350,256,3,0.49598607319832383,1.7999999999999998,-18.38702765932118,0.6625191619311547,ok,277.4902641773224
300,384,1,0.5145042633064335,0.675,-5.619685867456211,0.21837060143364984,ok,220.36247539520264
500,256,1,0.5826007879522566,0.75,-10.097035538681974,0.7617651430283304,ok,177.0424771308899
300,768,1,0.4917111663011365,1.05,-5.680674454037126,0.35241881594100016,ok,168.881272315979
600,640,1,0.5021595682125802,1.225,-11.441201463044592,0.25806363352194395,ok,217.0720293521881
350,896,1,0.4260415977216386,1.225,-6.683718189076749,0.3328027592478939,ok,163.004075050354
