cpu_m,mem_mib,replicas,f1,f2,f3,rank,crowding_distance,status,eval_time_s
100,384,1,0.542488116037321,0.475,-2.2337355405800783,0,inf,ok,173.43614315986633
550,512,4,0.35760190997443086,4.2,-38.632458282060654,0,inf,ok,357.32026648521423
500,128,1,0.6976889417809322,0.625,-9.671618218248206,0,inf,ok,177.34349179267883
400,128,2,0.6964290774500002,1.05,-15.344563195908488,0,0.5459647475118904,ok,193.02776718139648
350,256,3,0.49598607319832383,1.7999999999999998,-18.38702765932118,0,0.5421561110495984,ok,277.4902641773224
400,512,3,0.43958491658367504,2.7,-21.765621751517582,0,0.5028666830388046,ok,305.48762583732605
400,512,4,0.4204019990031463,3.6,-27.309649273369615,0,0.47194331996375755,ok,363.94285249710083
400,768,3,0.40922216515498827,3.4499999999999997,-18.528133289400635,0,0.4500206525283298,ok,343.5830788612366
500,512,4,0.41589364386408,4.0,-35.13196167541251,0,0.4385445392026981,ok,360.5090260505676
400,896,3,0.3765836170365795,3.8249999999999997,-21.9915457167165,0,0.4114817698873783,ok,334.25616788864136
500,256,1,0.5826007879522566,0.75,-10.097035538681974,0,0.3830773275393744,ok,177.0424771308899
300,384,2,0.47165369681430824,1.35,-11.411553030047108,0,0.38235799812910387,ok,186.4557991027832
