cpu_m,mem_mib,replicas,f1,f2,f3,crowding_distance,status,eval_time_s
100,384,1,0.542488116037321,0.475,-2.2337355405800783,inf,ok,173.43614315986633
550,512,4,0.35760190997443086,4.2,-38.632458282060654,inf,ok,357.32026648521423
550,128,4,0.5918999116546724,2.7,-39.02833973223414,inf,ok,413.30174589157104
100,256,1,0.5584247235986394,0.35,-2.3256397712318364,inf,ok,187.1758451461792
300,128,1,0.7245912094937602,0.425,-5.634286193251497,inf,ok,204.7191882133484
550,128,3,0.7007797619056619,2.0250000000000004,-30.693725378094353,0.38128464579467247,ok,147.7056438922882
450,512,3,0.430453275508741,2.8499999999999996,-24.565385108515226,0.3773697701255221,ok,265.0344340801239
400,896,3,0.3765836170365795,3.8249999999999997,-21.9915457167165,0.37430373241081266,ok,334.25616788864136
350,768,3,0.4078279361943,3.3000000000000003,-18.27641773589354,0.34273908095900624,ok,352.6446762084961
500,512,4,0.41589364386408,4.0,-35.13196167541251,0.3329485704600632,ok,360.5090260505676
250,128,3,0.6784562264356486,1.125,-13.085224959510333,0.315244292209047,ok,285.2334358692169
500,512,1,0.48058548653742894,1.0,-9.766149376111,0.3144650519066605,ok,214.3210117816925
