cpu_m,mem_mib,replicas,f1,f2,f3,rank,crowding_distance,status,eval_time_s
100,384,1,0.542488116037321,0.475,-2.2337355405800783,0,inf,ok,173.43614315986633
550,512,4,0.35760190997443086,4.2,-38.632458282060654,0,inf,ok,357.32026648521423
100,128,1,0.7358345511951612,0.225,-2.280047650126778,0,inf,ok,234.98419833183289
600,512,4,0.38835569914696927,4.4,-42.19566498547293,0,inf,ok,372.6231985092163
550,128,4,0.5918999116546724,2.7,-39.02833973223414,0,0.555061950936877,ok,413.30174589157104
350,768,3,0.4078279361943,3.3000000000000003,-18.27641773589354,0,0.5485585147049863,ok,352.6446762084961
500,512,4,0.41589364386408,4.0,-35.13196167541251,0,0.44200626169304247,ok,360.5090260505676
450,384,3,0.4544681407323298,2.4749999999999996,-24.828948194185116,0,0.4224778814924993,ok,265.7718868255615
550,128,3,0.7007797619056619,2.0250000000000004,-30.693725378094353,0,0.3836435149556718,ok,147.7056438922882
300,128,2,0.6575541532514412,0.85,-11.04593082053877,0,0.33387967720667827,ok,263.29306840896606
650,1024,1,0.4377728959349198,1.65,-12.64421948417207,0,0.23572858575850777,ok,187.23577308654785
700,1024,1,0.42736502462875336,1.7,-13.64962946666222,0,0.22856744645341137,ok,224.75751876831055
