cpu_m,mem_mib,replicas,f1,f2,f3,rank,crowding_distance,status,eval_time_s
100,640,2,0.4723362520073775,1.45,-3.197200711746523,1,inf,ok,230.55657196044922
450,768,1,0.46685279050484435,1.2,-8.361908447988547,0,0.06421278205683885,ok,199.12585973739624
450,1024,1,0.42352465275380646,1.45,-8.832720982518712,0,0.06093286308049671,ok,204.58845710754395
500,896,3,0.35203093704838473,4.125,-27.369693216747393,0,0.13147413961323542,ok,306.0210008621216
550,896,4,0.3531785151873937,5.7,-39.323863720112115,1,inf,ok,369.7160768508911
200,128,1,0.6939139300519797,0.325,-3.7775921725389088,0,inf,ok,231.02023124694824
150,896,2,0.46295002132412816,2.05,-5.399715565359546,1,0.1846021318387733,ok,288.9583194255829
150,384,4,10.0,2.1,0.0,4,inf,timeout,301.7169771194458
200,896,3,0.41505342234854026,3.2249999999999996,-9.958931981736791,1,0.12919472550132138,ok,286.2823624610901
550,384,4,0.4035313523469858,3.7,-38.43310831749098,0,0.2680609037726313,ok,310.91576290130615
150,128,1,0.6692299472871326,0.275,-2.7473266283889246,0,0.06610247824383692,ok,223.53039050102234
200,128,2,0.6850284795601637,0.65,-7.299225638695052,1,inf,ok,208.70396518707275
300,640,1,0.49721541260751956,0.925,-5.849622633717225,1,0.06894980788709479,ok,214.00580096244812
500,256,1,0.5908707084058176,0.75,-9.84874776120685,0,0.18598923470772255,ok,179.41071009635925
150,1024,3,0.4256199864960305,3.4499999999999997,-8.042284992102465,3,0.9567089041598158,ok,355.110652923584
350,1024,2,0.435403672882159,2.7,-13.421476714616361,1,0.232597617049389,ok,226.3874752521515
200,256,3,0.5291127315202305,1.35,-10.07665523845769,2,0.20357452861667438,ok,310.12793493270874
100,640,3,0.46537474183872435,2.175,-5.019400032153354,2,0.2741998277604227,ok,286.46827602386475
650,384,1,0.4954264584931864,1.025,-12.894140691352941,0,0.2261489847719901,ok,168.68888568878174
500,256,3,0.4703675038129061,2.25,-27.322093728609374,1,0.26836747685322415,ok,372.8531868457794
450,768,4,0.3479727541665352,4.8,-31.687641648077104,0,0.1458026852363909,ok,361.62707018852234
100,1024,4,0.4343653709799259,4.4,-6.505623416171707,4,inf,ok,353.77784514427185
550,256,3,0.45787419616746466,2.4000000000000004,-30.145853453130286,0,0.06908985456165027,ok,323.64041471481323
200,256,2,0.5473610229578758,0.9,-7.187924117368558,1,0.4673215817177493,ok,211.34897208213806
550,640,1,0.5059007152399523,1.175,-11.226250869752324,1,0.0989741067130043,ok,213.08438396453857
650,896,4,0.3392079168608914,6.1,-46.02580795214489,0,0.27723778021214024,ok,363.39448165893555
550,128,2,0.64259626861054,1.35,-20.778527509946745,0,0.21371052191408194,ok,244.17958450317383
100,256,1,0.5885938799332985,0.35,-2.270453663123471,0,0.09056335446399355,ok,210.99649858474731
200,128,3,0.6576617730410788,0.9750000000000001,-10.541262826522614,1,0.4697050162768173,ok,293.4081027507782
150,1024,3,0.4256199864960305,3.4499999999999997,-8.042284992102465,3,2.043291095840184,ok,355.110652923584
700,1024,3,0.3602642795213754,5.1,-38.953547511261505,1,0.48187567422514255,ok,254.23679876327515
400,256,1,0.5633496527765699,0.65,-7.703908058525699,0,0.11572998346101834,ok,198.91943502426147
150,512,4,0.45861084515181716,2.6,-9.7906846897872,1,0.14615921678667645,ok,427.6751973628998
250,896,3,0.41582958492334127,3.375,-12.861772742077287,2,0.54250083386891,ok,301.3601939678192
550,896,3,0.38174060644443997,4.275,-30.226764720978775,0,0.15702796103788663,ok,311.97323513031006
400,768,1,0.47665325561127253,1.15,-7.71194163225276,1,0.10671946525430162,ok,178.7914228439331
200,384,2,0.47063117002451654,1.15,-7.002061326572236,0,0.022753895923977085,ok,288.69320487976074
650,128,2,0.6297873555899738,1.55,-24.826903395146292,0,0.1760188901311564,ok,208.7912437915802
300,512,3,0.43984202022176305,2.4000000000000004,-16.322010316554355,0,0.11596124231385166,ok,359.48793959617615
250,512,4,0.434830634135829,3.0,-17.324582550467145,1,0.22794313221319595,ok,292.55089473724365
400,512,1,0.4932497195963795,0.9,-7.403824177169778,0,0.10321378045039781,ok,234.32676601409912
450,128,1,0.6670951398282429,0.575,-8.777766836091681,0,0.11897115624530183,ok,245.68311095237732
100,128,1,0.6903947895777838,0.225,-2.247127904073773,0,inf,ok,214.9255347251892
550,768,3,0.38773971847604544,3.9000000000000004,-31.2738133263143,0,0.1384090692651881,ok,299.53772354125977
250,384,4,10.0,2.5,0.0,5,inf,timeout,307.2807619571686
700,896,2,0.3351903723204064,3.15,-25.68601925307761,0,0.14620225212858484,ok,264.9175457954407
250,128,1,0.6734817520536998,0.375,-4.717592123198031,0,0.05481943654901653,ok,235.09769129753113
650,512,1,0.5091433777815055,1.15,-12.429587001104947,1,0.2104540811281159,ok,256.2327287197113
550,896,2,0.3967362257397054,2.85,-20.862644745475517,0,0.12592244225745913,ok,298.2864601612091
400,896,1,0.3257973605518726,1.275,-7.647016242118804,0,0.0832125218299556,ok,189.5825207233429
100,384,4,0.4819279827347304,1.9,-6.466973639396031,2,0.18631893516163578,ok,377.7958207130432
150,768,3,0.42899731673518726,2.7,-7.529825118064759,2,0.2665925301808973,ok,349.0468316078186
300,384,2,0.4967225885480847,1.35,-11.225335757483183,1,0.13537838886671663,ok,187.32364130020142
650,512,2,0.44573340561830616,2.3,-24.70405312831139,0,0.07689476517294004,ok,225.56989526748657
250,128,1,0.6734817520536998,0.375,-4.717592123198031,0,0.03629437871307397,ok,235.09769129753113
300,1024,3,0.36063699390575216,3.9000000000000004,-15.382225334203824,1,0.2764111382742939,ok,350.3551552295685
600,256,4,0.42072452834630614,3.4,-41.8448930901682,0,0.2673168791820094,ok,362.8564438819885
650,768,2,0.4035929795145211,2.8,-23.687693813270474,0,0.1427589343092172,ok,229.25253319740295
350,512,1,0.46273830584444403,0.85,-6.493295290393964,0,0.09028174577554732,ok,178.05590105056763
650,512,4,0.36571988282591045,4.6,-46.220702063103396,0,0.16827983743496014,ok,380.2390601634979
