cpu_m,mem_mib,replicas,f1,f2,f3,rank,crowding_distance,status,eval_time_s,fitness
700,128,4,0.5371234069042894,3.3,-49.112552154135116,-1,0.0,ok,274.5745735168457,0.6896165179043552
100,512,3,0.48473425501206485,1.7999999999999998,-4.952079254503308,-1,0.0,ok,266.72049474716187,0.5090111396334072
650,640,3,0.3470300460987041,3.8249999999999997,-35.36671486523735,-1,0.0,ok,259.3243203163147,0.6733019201211333
600,128,4,0.586449626581707,2.9,-41.85435111258976,-1,0.0,ok,257.67409110069275,0.6777404522364696
400,128,4,0.6315202685311743,2.1,-28.7941089497924,-1,0.0,ok,294.6860816478729,0.6671483254004958
700,384,4,0.3836571597495636,4.3,-48.880892071758936,-1,0.0,ok,275.71702313423157,0.6762379332042913
650,128,4,0.5922897592281815,3.1,-45.924303767415374,-1,0.0,ok,262.7206492424011,0.677740663955684
700,512,4,0.3415732492008512,4.8,-50.14661135316359,-1,0.0,ok,271.84953451156616,0.6777261910064596
100,128,4,0.6971996142059922,0.9,-6.654849536642935,-1,0.0,ok,274.15238761901855,0.6587482957201061
450,512,4,0.41150404940833535,3.8,-32.493524004018816,-1,0.0,ok,246.48540258407593,0.6650013394018608
250,128,4,0.6678866190680154,1.5,-17.679379481274456,-1,0.0,ok,251.9740309715271,0.6633320583495769
650,256,4,0.4365093197601542,3.6,-46.51240719091244,-1,0.0,ok,255.14089727401733,0.6788749365684394
