cpu_m,mem_mib,replicas,f1,f2,f3,crowding_distance,status,eval_time_s,fitness
700,128,4,0.5371234069042894,3.3,-49.112552154135116,0.0,ok,274.5745735168457,0.6896165179043552
650,768,1,0.5014235990517895,1.4,-12.632188284875435,0.0,ok,205.72984218597412,0.6518360772875242
100,1024,1,0.4942773101071059,1.1,-2.2515944090915245,0.0,ok,167.24052000045776,0.3875925136009439
700,384,3,0.39627971993013783,3.2249999999999996,-37.911662404539776,0.0,ok,255.7348952293396,0.677469279341179
200,128,4,0.6350974223356807,1.3,-13.734673610211571,0.0,ok,273.14069390296936,0.6644525956441092
700,256,3,0.4243123308670159,2.8499999999999996,-37.49208039221703,0.0,ok,260.87622237205505,0.6862327731068077
700,384,4,0.3836571597495636,4.3,-48.880892071758936,0.0,ok,275.71702313423157,0.6762379332042913
100,128,4,0.6971996142059922,0.9,-6.654849536642935,0.0,ok,274.15238761901855,0.6587482957201061
700,256,4,0.42678762194239145,3.8,-50.89522040073048,0.0,ok,305.4132809638977,0.6828481845373886
250,384,2,0.49148888081008274,1.25,-8.953866637716223,0.0,ok,196.97842812538147,0.6556290894125907
700,128,3,0.6337577740129774,2.4749999999999996,-38.3448706886492,0.0,ok,247.42492198944092,0.6723851511232577
700,768,2,0.2762446740589041,2.9,-27.05331409096142,0.0,ok,198.9965078830719,0.6820546139321861
