cpu_m,mem_mib,replicas,f1,f2,f3,rank,crowding_distance,status,eval_time_s,fitness
100,640,1,0.5246728805940702,0.725,-2.3443970817329465,-1,0.0,ok,200.13689804077148,0.3962450830571816
250,384,2,0.49148888081008274,1.25,-8.953866637716223,-1,0.0,ok,196.97842812538147,0.6556290894125907
600,256,1,0.5871511016387077,0.85,-12.137993899751708,-1,0.0,ok,194.77896165847778,0.6599701994775303
100,128,4,0.6971996142059922,0.9,-6.654849536642935,-1,0.0,ok,274.15238761901855,0.6587482957201061
250,512,1,0.5324451139095008,0.75,-4.769656351379012,-1,0.0,ok,220.89811086654663,0.5520934984712502
500,512,1,0.4701782351950193,1.0,-9.649519752244183,-1,0.0,ok,167.59349370002747,0.6590318088851151
250,1024,4,0.39842488154752914,5.0,-17.172740297968215,-1,0.0,ok,334.9690442085266,0.6540960838146772
700,128,3,0.6337577740129774,2.4749999999999996,-38.3448706886492,-1,0.0,ok,247.42492198944092,0.6723851511232577
650,896,2,0.38692151620360105,3.05,-24.742529531842678,-1,0.0,ok,197.8495466709137,0.6568133088337158
300,384,3,0.4841648403563344,2.0250000000000004,-15.849157039245712,-1,0.0,ok,288.65480399131775,0.6611808103360155
700,768,2,0.2762446740589041,2.9,-27.05331409096142,-1,0.0,ok,198.9965078830719,0.6820546139321861
150,896,1,0.45846015226397746,1.025,-2.661926883100719,-1,0.0,ok,207.8224766254425,0.49301139168285035
