cpu_m,mem_mib,replicas,f1,f2,f3,crowding_distance,status,eval_time_s,fitness
700,768,2,0.2762446740589041,2.9,-27.05331409096142,0.0,ok,198.9965078830719,0.6820546139321861
350,768,1,0.4888262730220576,1.1,-6.661885311803701,0.0,ok,167.48782563209534,0.6497397459365531
700,128,3,0.6337577740129774,2.4749999999999996,-38.3448706886492,0.0,ok,247.42492198944092,0.6723851511232577
700,384,2,0.4506889245826757,2.15,-26.221190131588482,0.0,ok,159.6333465576172,0.6621289087382909
450,128,3,0.6655676464979294,1.7249999999999999,-25.042071289800624,0.0,ok,255.39971566200256,0.666179165509107
700,128,2,0.6856026589418914,1.65,-26.873260440988176,0.0,ok,219.67345261573792,0.6614008088145708
200,640,2,0.4905316574695589,1.65,-7.380427171395602,0.0,ok,162.57399559020996,0.6535094715894383
700,256,3,0.4243123308670159,2.8499999999999996,-37.49208039221703,0.0,ok,260.87622237205505,0.6862327731068077
700,384,3,0.39627971993013783,3.2249999999999996,-37.911662404539776,0.0,ok,255.7348952293396,0.677469279341179
600,768,2,0.4187569143875023,2.7,-22.784648407771595,0.0,ok,220.71807479858398,0.6583273730504849
400,256,3,0.5227279739288505,1.9500000000000002,-21.98569182619045,0.0,ok,232.1183376312256,0.6683623828986786
