cpu_m,mem_mib,replicas,f1,f2,f3,rank,crowding_distance,status,eval_time_s,fitness
700,256,3,0.4243123308670159,2.8499999999999996,-37.49208039221703,-1,0.0,ok,260.87622237205505,0.6862327731068077
500,128,2,0.656104467974846,1.25,-17.277472352271747,-1,0.0,ok,193.36839628219604,0.6588836578276855
450,128,3,0.6655676464979294,1.7249999999999999,-25.042071289800624,-1,0.0,ok,255.39971566200256,0.666179165509107
700,768,2,0.2762446740589041,2.9,-27.05331409096142,-1,0.0,ok,198.9965078830719,0.6820546139321861
700,384,3,0.39627971993013783,3.2249999999999996,-37.911662404539776,-1,0.0,ok,255.7348952293396,0.677469279341179
700,640,2,0.41647256170303243,2.65,-26.141931365592892,-1,0.0,ok,215.56466341018677,0.6599642378985258
700,768,3,0.33840805669613094,4.35,-37.152921417188864,-1,0.0,ok,253.29549026489258,0.6734379908677033
700,128,4,0.5371234069042894,3.3,-49.112552154135116,-1,0.0,ok,274.5745735168457,0.6896165179043552
650,256,3,0.45682346171693616,2.7,-35.96614389450131,-1,0.0,ok,243.19947719573975,0.6779969269291681
700,128,3,0.6337577740129774,2.4749999999999996,-38.3448706886492,-1,0.0,ok,247.42492198944092,0.6723851511232577
700,256,2,0.5111175638255081,1.9,-26.251349630146734,-1,0.0,ok,177.36242246627808,0.6675033474386232
550,384,3,0.45355866173268744,2.7750000000000004,-30.446732832516815,-1,0.0,ok,280.29851388931274,0.6665480829090487
