cpu_m,mem_mib,replicas,f1,f2,f3,crowding_distance,status,eval_time_s,fitness
700,128,4,0.5371234069042894,3.3,-49.112552154135116,0.0,ok,274.5745735168457,0.6896165179043552
500,1024,4,0.3792494126673473,6.0,-36.56003694066983,0.0,ok,299.52885341644287,0.6621691760367279
650,1024,2,0.4047667347592824,3.3,-25.122786974955087,0.0,ok,196.95889043807983,0.6574419887554674
700,256,4,0.42678762194239145,3.8,-50.89522040073048,0.0,ok,305.4132809638977,0.6828481845373886
700,256,3,0.4243123308670159,2.8499999999999996,-37.49208039221703,0.0,ok,260.87622237205505,0.6862327731068077
100,128,4,0.6971996142059922,0.9,-6.654849536642935,0.0,ok,274.15238761901855,0.6587482957201061
550,128,4,0.625968180797136,2.7,-39.41638394768429,0.0,ok,314.5668923854828,0.672389623665737
300,128,4,0.6427182534458709,1.7,-20.57745113532075,0.0,ok,284.69687509536743,0.6642859845283444
700,128,3,0.6337577740129774,2.4749999999999996,-38.3448706886492,0.0,ok,247.42492198944092,0.6723851511232577
400,512,4,0.3845056516215233,3.6,-28.059416113649167,0.0,ok,257.06231689453125,0.667785179274689
400,1024,1,0.4910144564971589,1.4,-7.524915809529773,0.0,ok,164.56212997436523,0.6483003247204542
700,1024,2,0.3819774148524403,3.4,-26.458746344157884,0.0,ok,221.95179891586304,0.6602881758589425
