cpu_m,mem_mib,replicas,f1,f2,f3,crowding_distance,status,eval_time_s,fitness
100,640,1,0.5246728805940702,0.725,-2.3443970817329465,0.0,ok,200.13689804077148,0.3962450830571816
600,256,1,0.5871511016387077,0.85,-12.137993899751708,0.0,ok,194.77896165847778,0.6599701994775303
250,512,1,0.5324451139095008,0.75,-4.769656351379012,0.0,ok,220.89811086654663,0.5520934984712502
500,512,1,0.4701782351950193,1.0,-9.649519752244183,0.0,ok,167.59349370002747,0.6590318088851151
700,128,3,0.6337577740129774,2.4749999999999996,-38.3448706886492,0.0,ok,247.42492198944092,0.6723851511232577
300,384,3,0.4841648403563344,2.0250000000000004,-15.849157039245712,0.0,ok,288.65480399131775,0.6611808103360155
700,768,2,0.2762446740589041,2.9,-27.05331409096142,0.0,ok,198.9965078830719,0.6820546139321861
150,896,1,0.45846015226397746,1.025,-2.661926883100719,0.0,ok,207.8224766254425,0.49301139168285035
