cpu_m,mem_mib,replicas,f1,f2,f3,crowding_distance,status,eval_time_s
400,256,2,0.5118161510210681,1.3,-15.457471065076005,0.034241445131169175,ok,249.35376381874084
400,512,3,0.43513421683195014,2.7,-22.508018250223802,0.13484622145555702,ok,291.41188621520996
100,512,1,0.5216373300563939,0.6,-2.2973680083514827,inf,ok,189.24072647094727
550,128,1,0.7012172192280381,0.675,-10.278463917971974,0.11916133855419346,ok,205.45277762413025
350,256,3,0.48178315612132966,1.7999999999999998,-19.297922213165354,0.10291331038437382,ok,290.16146087646484
300,384,1,0.535239316679647,0.675,-5.780282442496226,0.034758376057327345,ok,194.55729579925537
500,256,1,0.5947442560674571,0.75,-10.022922924172015,0.0921368419403445,ok,245.5660183429718
650,512,1,0.4756021027328667,1.15,-13.05401158747709,0.08117949398480617,ok,177.42613124847412
650,768,3,0.38595759555277065,4.199999999999999,-34.694806955459704,0.3292331014490998,ok,274.53009510040283
700,768,1,0.43416003771723455,1.45,-13.634886509274112,0.05797961364653709,ok,181.06248807907104
300,384,1,0.535239316679647,0.675,-5.780282442496226,0.036099996147288566,ok,194.55729579925537
250,128,3,0.6603037916835826,1.125,-13.633258892871122,0.010141451648187937,ok,350.2057921886444
150,512,1,0.5187354273575591,0.65,-2.844473050406305,0.037372225486545146,ok,206.562824010849
600,128,3,0.6045428287714366,2.175,-32.40001522010354,0.04647125087773456,ok,316.92968702316284
600,256,3,0.4743316150410786,2.55,-32.946145643708824,0.15198563239567728,ok,248.33887934684753
300,256,3,0.5053882779667938,1.6500000000000001,-16.178179339020595,0.1469543217092933,ok,275.1016662120819
200,384,1,0.5356275421085677,0.575,-3.7605680664503294,0.16952170369698805,ok,208.05431032180786
450,256,3,0.49382438128306116,2.0999999999999996,-24.45700279541512,0.04410673847356226,ok,338.4496183395386
550,384,3,0.4341432388819162,2.7750000000000004,-29.72345366689532,0.11311860027944763,ok,250.23273086547852
650,768,2,0.40759696929780964,2.8,-24.61618288179338,0.1397426129828086,ok,189.54242062568665
650,384,4,0.3911302886103745,4.1,-46.84826047320769,inf,ok,263.91709637641907
550,768,1,0.4462221978755056,1.3,-10.914548575758618,0.06565943656801776,ok,219.75836372375488
200,128,1,0.732302922984823,0.325,-3.712813367637927,inf,ok,233.1122329235077
650,128,3,0.5886609117575624,2.325,-35.77286202087538,0.28240079268806495,ok,344.08486461639404
300,128,2,0.6735145874862463,0.85,-10.998037325708705,0.14240579485612684,ok,266.92926120758057
550,384,2,0.32685485619956256,1.85,-20.915376092691847,0.29591323057314667,ok,229.05975985527039
250,128,1,0.7273350755032337,0.375,-4.8737174720989245,0.08947310246256501,ok,185.5924789905548
500,128,3,0.6211678185082573,1.875,-27.770359471198457,0.22482760662419846,ok,297.8785195350647
400,384,3,0.396836084699787,2.325,-21.587158685640073,0.11554504322265521,ok,271.06950879096985
600,384,1,0.5345620690745789,0.975,-12.052532138871245,0.10642607322505845,ok,176.00847673416138
100,128,2,0.717795152418766,0.45,-3.410562566083826,0.10614021573091353,ok,229.38810348510742
150,512,1,0.5187354273575591,0.65,-2.844473050406305,0.013425857756979962,ok,206.562824010849
200,256,2,0.4115423745747827,0.9,-7.264631610164714,0.14715518946540143,ok,235.0857903957367
500,256,2,0.5232719417016574,1.5,-18.334803479938024,0.13731485235045449,ok,217.64480757713318
700,896,2,0.37829323151517413,3.15,-26.296180321775964,0.1555496370344159,ok,202.40386128425598
600,384,4,0.40804257895359414,3.9,-43.35063124711149,0.33119403027486005,ok,315.499041557312
700,640,4,0.26209631907580927,5.3,-40.446352389037436,inf,ok,347.5480616092682
450,256,3,0.49382438128306116,2.0999999999999996,-24.45700279541512,0.0832659716601095,ok,338.4496183395386
550,512,3,0.37844506489406277,3.1500000000000004,-29.875449160925267,0.22435552534731576,ok,259.4108500480652
350,128,3,0.657710188729383,1.4249999999999998,-19.419998417708502,0.14923327524820246,ok,274.36517453193665
300,128,3,0.6602310652868641,1.275,-16.15228697737245,0.05154381623178987,ok,281.56641840934753
600,768,3,0.3713456538958635,4.050000000000001,-32.87702212116149,0.16145483274507824,ok,335.44765639305115
550,128,3,0.593674303045003,2.0250000000000004,-29.780342477018444,0.061125445277478395,ok,350.785356760025
600,128,3,0.6045428287714366,2.175,-32.40001522010354,0.12187453690035294,ok,316.92968702316284
400,256,2,0.5118161510210681,1.3,-15.457471065076005,0.08050118715988089,ok,249.35376381874084
450,640,1,0.458413073511535,1.075,-8.754974461198222,0.1515450054472658,ok,219.1676003932953
250,128,3,0.6603037916835826,1.125,-13.633258892871122,0.046072773874537606,ok,350.2057921886444
150,128,1,0.7232455738886321,0.275,-2.742933314591236,inf,ok,191.101567029953
