cpu_m,mem_mib,replicas,f1,f2,f3,rank,crowding_distance,status,eval_time_s
600,256,4,0.4282651376602365,3.4,-41.139114478709295,0,inf,ok,373.1713309288025
100,128,1,0.7358345511951612,0.225,-2.280047650126778,0,inf,ok,234.98419833183289
650,896,3,0.34940132070204133,4.574999999999999,-35.36735053699435,0,inf,ok,309.9952311515808
100,384,1,0.542488116037321,0.475,-2.2337355405800783,0,inf,ok,173.43614315986633
700,128,3,0.6131179010370434,2.4749999999999996,-38.57727778444405,0,0.6148681073658996,ok,334.66021180152893
600,640,3,0.3707851261659122,3.6750000000000003,-32.89609565551532,0,0.5735621388322081,ok,256.6899859905243
600,256,2,0.4695711658286977,1.7,-22.493310630784983,0,0.5376331946349785,ok,211.59323859214783
700,128,2,0.6477379663034982,1.65,-27.192597814148638,0,0.4618919997796779,ok,200.53556180000305
700,768,1,0.48836821320095286,1.45,-14.03946445013401,0,0.3810120053653896,ok,218.39631867408752
650,640,2,0.4438257557360826,2.55,-24.784399998371285,0,0.34390358586064285,ok,355.80557680130005
500,512,1,0.48058548653742894,1.0,-9.766149376111,0,0.3254611146506001,ok,214.3210117816925
700,896,2,0.3630675286020889,3.15,-25.677354304533633,0,0.31263749109632044,ok,199.30646657943726
