cpu_m,mem_mib,replicas,f1,f2,f3,crowding_distance,status,eval_time_s
600,256,1,0.5351300954106342,0.85,-11.933866792188857,0.5163130166704222,ok,176.51693654060364
650,640,2,0.4438257557360826,2.55,-24.784399998371285,0.8530614223236854,ok,355.80557680130005
250,384,1,0.5242876755719649,0.625,-4.478828078108515,0.28394360296766136,ok,231.04900813102722
600,256,4,0.4282651376602365,3.4,-41.139114478709295,inf,ok,373.1713309288025
100,128,1,0.7358345511951612,0.225,-2.280047650126778,inf,ok,234.98419833183289
250,512,1,0.49813752688114665,0.75,-4.904034094817033,0.3230822972870254,ok,242.8239347934723
500,512,4,0.41589364386408,4.0,-35.13196167541251,0.5722116837180733,ok,360.5090260505676
250,1024,3,0.4159402005522498,3.75,-13.701172996979937,0.22413109679279217,ok,248.97779035568237
700,128,2,0.6477379663034982,1.65,-27.192597814148638,1.0385347244730145,ok,200.53556180000305
650,896,3,0.34940132070204133,4.574999999999999,-35.36735053699435,inf,ok,309.9952311515808
300,384,2,0.47165369681430824,1.35,-11.411553030047108,0.4341024873484826,ok,186.4557991027832
700,768,1,0.48836821320095286,1.45,-14.03946445013401,0.42271554066021233,ok,218.39631867408752
