cpu_m,mem_mib,replicas,f1,f2,f3,rank,crowding_distance,status,eval_time_s
600,256,4,0.4282651376602365,3.4,-41.139114478709295,0,inf,ok,373.1713309288025
100,128,1,0.7358345511951612,0.225,-2.280047650126778,0,inf,ok,234.98419833183289
650,896,3,0.34940132070204133,4.574999999999999,-35.36735053699435,0,inf,ok,309.9952311515808
100,384,1,0.542488116037321,0.475,-2.2337355405800783,0,inf,ok,173.43614315986633
600,640,3,0.3707851261659122,3.6750000000000003,-32.89609565551532,0,0.6489501356898943,ok,256.6899859905243
700,128,2,0.6477379663034982,1.65,-27.192597814148638,0,0.5605797287640447,ok,200.53556180000305
700,128,3,0.6131179010370434,2.4749999999999996,-38.57727778444405,0,0.3539199827120042,ok,334.66021180152893
500,256,1,0.5826007879522566,0.75,-10.097035538681974,0,0.288151086176989,ok,177.0424771308899
700,768,1,0.48836821320095286,1.45,-14.03946445013401,0,0.27758964744271913,ok,218.39631867408752
650,768,1,0.5130678994694913,1.4,-13.241730335248832,0,0.2670839709464904,ok,136.73093605041504
550,512,2,0.4374950876207651,2.1,-21.03098852276547,0,0.2665137932383538,ok,243.59386086463928
500,1024,2,0.4296139185959091,3.0,-19.07360410522308,0,0.26373714279785354,ok,261.0484662055969
