cpu_m,mem_mib,replicas,f1,f2,f3,crowding_distance,status,eval_time_s
100,128,1,0.7358345511951612,0.225,-2.280047650126778,inf,ok,234.98419833183289
100,384,1,0.542488116037321,0.475,-2.2337355405800783,inf,ok,173.43614315986633
650,896,4,0.32735544517021137,6.1,-46.33825532717911,inf,ok,263.8942322731018
600,640,3,0.3707851261659122,3.6750000000000003,-32.89609565551532,0.4904780984093994,ok,256.6899859905243
700,128,2,0.6477379663034982,1.65,-27.192597814148638,0.4475108612965981,ok,200.53556180000305
650,896,3,0.34940132070204133,4.574999999999999,-35.36735053699435,0.44037367704208563,ok,309.9952311515808
100,128,3,0.708037726580744,0.675,-5.224298981036345,0.4050332888776867,ok,254.90459275245667
700,128,3,0.6131179010370434,2.4749999999999996,-38.57727778444405,0.36582103551236084,ok,334.66021180152893
500,256,1,0.5826007879522566,0.75,-10.097035538681974,0.34120912430574796,ok,177.0424771308899
650,768,4,0.35005843964945393,5.6,-45.895146086505996,0.3245117760527728,ok,267.1092278957367
550,512,2,0.4374950876207651,2.1,-21.03098852276547,0.2961902070030573,ok,243.59386086463928
600,256,4,0.4282651376602365,3.4,-41.139114478709295,0.2867021416156794,ok,373.1713309288025
