cpu_m,mem_mib,replicas,f1,f2,f3,rank,crowding_distance,status,eval_time_s
100,128,1,0.7358345511951612,0.225,-2.280047650126778,0,inf,ok,234.98419833183289
100,384,1,0.542488116037321,0.475,-2.2337355405800783,0,inf,ok,173.43614315986633
650,896,4,0.32735544517021137,6.1,-46.33825532717911,0,inf,ok,263.8942322731018
700,896,3,0.3112247101272354,4.725,-38.57916903578346,0,inf,ok,321.0097978115082
700,512,4,0.36849292112338666,4.8,-49.67483536416822,0,inf,ok,321.1711497306824
500,256,2,0.5232312857304742,1.5,-19.059483348032007,0,0.4313380603061162,ok,257.6246099472046
700,768,3,0.35186700370826346,4.35,-37.63660840591372,0,0.39535873357757106,ok,340.56322622299194
700,128,2,0.6477379663034982,1.65,-27.192597814148638,0,0.3947541430423872,ok,200.53556180000305
500,256,1,0.5826007879522566,0.75,-10.097035538681974,0,0.3653997814884067,ok,177.0424771308899
600,640,3,0.3707851261659122,3.6750000000000003,-32.89609565551532,0,0.3534042401941845,ok,256.6899859905243
650,512,1,0.46692402799275917,1.15,-12.993406049595915,0,0.335697733796023,ok,172.09243869781494
600,256,4,0.4282651376602365,3.4,-41.139114478709295,0,0.3301520444470654,ok,373.1713309288025
