cpu_m,mem_mib,replicas,f1,f2,f3,crowding_distance,status,eval_time_s,fitness
600,256,4,0.4223296630431846,3.4,-42.3215858481648,0.0,ok,338.5364203453064,0.685909381651712
650,768,4,0.3414762632941516,5.6,-46.88263638562681,0.0,ok,271.80072712898254,0.6697806464007796
250,384,2,0.4971090369319466,1.25,-8.941380604574919,0.0,ok,228.4748077392578,0.6569842606003196
650,256,3,0.4752621010809134,2.7,-35.17221878818447,0.0,ok,298.2272000312805,0.675249228835339
650,256,4,0.42749323665967615,3.6,-45.93347566228048,0.0,ok,324.5781259536743,0.6818577346929231
650,256,2,0.49023269148750687,1.8,-23.255571660213263,0.0,ok,191.9925081729889,0.6712084060785042
650,384,4,0.41886952762473123,4.1,-46.80798155086241,0.0,ok,327.0478982925415,0.6709393134870959
700,256,4,0.43879126556108333,3.8,-49.041044377637476,0.0,ok,247.86275172233582,0.6811433756774398
650,128,4,0.5816339790634375,3.1,-46.95781830243734,0.0,ok,305.83026790618896,0.6810147534014261
100,512,4,0.4683163223332755,2.4,-6.5598717366175805,0.0,ok,280.1434302330017,0.6383359960059316
