cpu_m,mem_mib,replicas,f1,f2,f3,rank,crowding_distance,status,eval_time_s,fitness
700,256,4,0.43879126556108333,3.8,-49.041044377637476,-1,0.0,ok,247.86275172233582,0.6811433756774398
650,768,3,0.3704755881630363,4.199999999999999,-34.21835564196554,-1,0.0,ok,246.58624625205994,0.6647806213700136
100,512,2,0.4933865859014887,1.2,-3.0528755409624577,-1,0.0,ok,232.280620098114,0.43894835070426225
450,256,3,0.5140516163166141,2.0999999999999996,-24.62655404810293,-1,0.0,ok,262.66812539100647,0.6686469545540725
700,640,4,0.3021679143538116,5.3,-49.18688790817942,-1,0.0,ok,282.55056953430176,0.6801096919736116
400,128,3,0.6680835653640345,1.5750000000000002,-22.592490370804217,-1,0.0,ok,308.49999356269836,0.6677416491797996
550,128,4,0.598532875466703,2.7,-38.64152219522411,-1,0.0,ok,263.29699301719666,0.6723790331415542
600,256,4,0.4223296630431846,3.4,-42.3215858481648,-1,0.0,ok,338.5364203453064,0.685909381651712
150,256,4,0.5203294357416925,1.6,-10.110820195571417,-1,0.0,ok,260.4311852455139,0.6611587819972231
500,256,4,0.4825386987713237,3.0,-34.966477102829124,-1,0.0,ok,339.22277426719666,0.6713786927611982
350,256,3,0.5091454416378216,1.7999999999999998,-19.049369225196553,-1,0.0,ok,282.08433389663696,0.668671110890291
450,256,4,0.4621878322935152,2.8,-31.10617470418375,-1,0.0,ok,265.8725423812866,0.6723565311656886
