cpu_m,mem_mib,replicas,f1,f2,f3,rank,crowding_distance,status,eval_time_s,fitness
500,256,4,0.4825386987713237,3.0,-34.966477102829124,-1,0.0,ok,339.22277426719666,0.6713786927611982
400,512,2,0.4634709613003865,1.8,-14.260362520810643,-1,0.0,ok,191.56357502937317,0.6521454797527598
100,512,3,0.4820856452126958,1.7999999999999998,-4.79996388497253,-1,0.0,ok,286.84152579307556,0.5108301858998798
550,128,1,0.7087037736261321,0.675,-10.357786623578013,-1,0.0,ok,176.19412446022034,0.6599974599290257
200,640,1,0.5105088287305383,0.825,-3.6378930525440576,-1,0.0,ok,204.5224051475525,0.554306318943508
550,896,4,0.3238366665249642,5.7,-37.591471070608826,-1,0.0,ok,303.6700701713562,0.6698168671001574
350,256,3,0.5091454416378216,1.7999999999999998,-19.049369225196553,-1,0.0,ok,282.08433389663696,0.668671110890291
300,384,3,0.45918828970266684,2.0250000000000004,-15.419412301107316,-1,0.0,ok,245.05022072792053,0.6616457956181816
500,256,1,0.5831151040294258,0.75,-9.391222428097173,-1,0.0,ok,195.97650718688965,0.6576348819697013
300,768,1,0.4723802468942219,1.05,-5.678433233225877,-1,0.0,ok,187.71104764938354,0.6524907056878851
600,640,1,0.5289801255169329,1.225,-11.43175389917364,-1,0.0,ok,151.59270215034485,0.6495433556582048
350,896,1,0.4949306357484002,1.225,-6.6106224621523415,-1,0.0,ok,196.59308505058289,0.6479437923466156
