cpu_m,mem_mib,replicas,f1,f2,f3,crowding_distance,status,eval_time_s,fitness
600,256,4,0.4223296630431846,3.4,-42.3215858481648,0.0,ok,338.5364203453064,0.685909381651712
300,896,1,0.4979690206880136,1.175,-5.639381043397221,0.0,ok,218.43993139266968,0.6482691228831663
100,512,1,0.45442790401155386,0.6,-2.2753232914215906,0.0,ok,163.82056069374084,0.4024067571703627
650,384,4,0.41886952762473123,4.1,-46.80798155086241,0.0,ok,327.0478982925415,0.6709393134870959
550,128,4,0.598532875466703,2.7,-38.64152219522411,0.0,ok,263.29699301719666,0.6723790331415542
550,128,3,0.6107822157178697,2.0250000000000004,-29.76233089530398,0.0,ok,241.84078860282898,0.6733873360753762
500,256,4,0.4825386987713237,3.0,-34.966477102829124,0.0,ok,339.22277426719666,0.6713786927611982
550,256,4,0.45663593001505115,3.2,-39.52143726842044,0.0,ok,280.16471767425537,0.674163569209663
500,128,4,0.6019021782038961,2.5,-34.22131024938147,0.0,ok,310.83990716934204,0.673693236723809
650,640,4,0.36702636888167783,5.1,-45.81789182272625,0.0,ok,266.2976200580597,0.6681748598109803
650,256,4,0.42749323665967615,3.6,-45.93347566228048,0.0,ok,324.5781259536743,0.6818577346929231
550,384,4,0.380520222189316,3.7,-34.308417664820226,0.0,ok,284.7469778060913,0.6723441477484435
