cpu_m,mem_mib,replicas,f1,f2,f3,crowding_distance,status,eval_time_s,fitness
600,256,4,0.4223296630431846,3.4,-42.3215858481648,0.0,ok,338.5364203453064,0.685909381651712
400,768,2,0.37097728618299586,2.3,-14.586294319297975,0.0,ok,216.02965235710144,0.6615916026183197
600,384,2,0.4693539806471653,1.95,-21.98800867675952,0.0,ok,217.03860569000244,0.6609285078606654
650,128,4,0.5816339790634375,3.1,-46.95781830243734,0.0,ok,305.83026790618896,0.6810147534014261
650,256,4,0.42749323665967615,3.6,-45.93347566228048,0.0,ok,324.5781259536743,0.6818577346929231
500,256,4,0.4825386987713237,3.0,-34.966477102829124,0.0,ok,339.22277426719666,0.6713786927611982
700,256,4,0.43879126556108333,3.8,-49.041044377637476,0.0,ok,247.86275172233582,0.6811433756774398
100,256,4,0.5331839247508587,1.4,-6.420231420981034,0.0,ok,264.79557728767395,0.6151546666981084
600,128,4,0.6036329399058231,2.9,-41.96328712047821,0.0,ok,276.40651178359985,0.6730142672571578
600,384,4,0.40904352089111473,3.9,-42.89670881496275,0.0,ok,140.1315212249756,0.6754988174066258
700,384,4,0.3829146100317824,4.3,-49.27299378828276,0.0,ok,271.25343918800354,0.6775335879499582
400,384,4,0.43012630945464503,3.1,-28.00847486024796,0.0,ok,314.20918226242065,0.6663212152951825
