cpu_m,mem_mib,replicas,f1,f2,f3,crowding_distance,status,eval_time_s,fitness
600,256,4,0.4223296630431846,3.4,-42.3215858481648,0.0,ok,338.5364203453064,0.685909381651712
550,1024,2,0.37846360966329934,3.1,-21.06541678163388,0.0,ok,195.5687403678894,0.6595148131732305
650,256,3,0.4752621010809134,2.7,-35.17221878818447,0.0,ok,298.2272000312805,0.675249228835339
650,256,4,0.42749323665967615,3.6,-45.93347566228048,0.0,ok,324.5781259536743,0.6818577346929231
700,256,4,0.43879126556108333,3.8,-49.041044377637476,0.0,ok,247.86275172233582,0.6811433756774398
650,384,4,0.41886952762473123,4.1,-46.80798155086241,0.0,ok,327.0478982925415,0.6709393134870959
600,256,3,0.48560677655161877,2.55,-32.70560119635011,0.0,ok,247.24997448921204,0.6728335270162971
600,128,4,0.6036329399058231,2.9,-41.96328712047821,0.0,ok,276.40651178359985,0.6730142672571578
600,512,4,0.37758841269634436,4.4,-42.96891148315025,0.0,ok,315.8242690563202,0.6708732749794479
700,256,3,0.48853110910145087,2.8499999999999996,-38.34418412329823,0.0,ok,252.98730039596558,0.672994400192121
150,256,3,0.5278055586435842,1.2000000000000002,-7.984507689309103,0.0,ok,240.21959114074707,0.6636316904211375
