cpu_m,mem_mib,replicas,f1,f2,f3,crowding_distance,status,eval_time_s,fitness
700,256,4,0.42678762194239145,3.8,-50.89522040073048,0.0,ok,305.4132809638977,0.6828481845373886
350,384,1,0.5416378985146115,0.725,-6.830460791453991,0.0,ok,164.4101152420044,0.6519064884824322
450,512,1,0.4556678540973872,0.95,-8.88990099777614,0.0,ok,197.08330941200256,0.6595290073367202
650,128,4,0.5922897592281815,3.1,-45.924303767415374,0.0,ok,262.7206492424011,0.677740663955684
700,384,4,0.3836571597495636,4.3,-48.880892071758936,0.0,ok,275.71702313423157,0.6762379332042913
550,256,4,0.44791710926228173,3.2,-39.15345212654555,0.0,ok,259.58651852607727,0.677179914881957
600,256,4,0.44928106419026326,3.4,-43.114100783523,0.0,ok,279.082537651062,0.6789652553414314
650,256,4,0.4365093197601542,3.6,-46.51240719091244,0.0,ok,255.14089727401733,0.6788749365684394
700,640,4,0.31577930753304373,5.3,-49.308867731688466,0.0,ok,261.9394817352295,0.6770908830602824
700,256,3,0.4243123308670159,2.8499999999999996,-37.49208039221703,0.0,ok,260.87622237205505,0.6862327731068077
