cpu_m,mem_mib,replicas,f1,f2,f3,rank,crowding_distance,status,eval_time_s,fitness
550,256,4,0.44791710926228173,3.2,-39.15345212654555,-1,0.0,ok,259.58651852607727,0.677179914881957
400,1024,1,0.4910144564971589,1.4,-7.524915809529773,-1,0.0,ok,164.56212997436523,0.6483003247204542
500,1024,4,0.3792494126673473,6.0,-36.56003694066983,-1,0.0,ok,299.52885341644287,0.6621691760367279
500,256,4,0.46341903777553245,3.0,-35.26546039516515,-1,0.0,ok,268.6478946208954,0.6740301713725088
500,128,4,0.6047145163440859,2.5,-35.78943019155457,-1,0.0,ok,295.4173254966736,0.6704266287848984
500,512,4,0.40998929681687296,4.0,-35.61216498589036,-1,0.0,ok,252.50790786743164,0.6633271326496942
450,384,4,0.4358956914842004,3.3,-32.43021034491973,-1,0.0,ok,290.14136242866516,0.6676616610138182
450,256,4,0.4657099267356413,2.8,-31.933983445082596,-1,0.0,ok,299.770391702652,0.6749611866212941
400,256,4,0.4986428327554279,2.6,-28.57568666345933,-1,0.0,ok,308.63854241371155,0.6698832723417207
400,256,3,0.5227279739288505,1.9500000000000002,-21.98569182619045,-1,0.0,ok,232.1183376312256,0.6683623828986786
400,128,4,0.6315202685311743,2.1,-28.7941089497924,-1,0.0,ok,294.6860816478729,0.6671483254004958
300,256,4,0.4924716668670652,2.2,-20.958587972977487,-1,0.0,ok,254.71789813041687,0.6683853124980104
