generation,idx,cpu_m,mem_mib,replicas,fitness,f1,f2,f3,throughput,p95_latency_s,p99_latency_s,avg_latency_s,success_rate,total_requests,failed_requests,cpu_usage_cores,memory_usage_bytes,cpu_utilization,memory_utilization,cpu_throttling,memory_peak_usage_bytes,status,error,eval_time_s
0,0,300,384,1,0.6562797875074073,0.4976175669364036,0.675,-5.712852921259003,5.712852921259003,3.96879243850708,3.9934744834899902,3.7975824338952626,1.0,529,0,0.1886188937950519,63682267.428571425,0.6287296459835063,0.1581566220238095,0.8193928487165572,70803456.0,ok,,203.84663724899292
0,1,350,256,4,0.6729610818031748,0.4443292600025334,2.4,-21.44408011599498,21.44408011599498,3.7211992740631104,4.1832873821258545,1.0090321157511943,1.0,1958,0,0.1712008032722137,66710528.0,0.48914515220632493,0.24851608276367188,0.6080493891456918,75325440.0,ok,,273.4208731651306
0,2,550,1024,4,0.6696245841765865,0.3138395390295981,6.2,-38.4078558027242,38.4078558027242,1.5145795345306396,1.8978815078735352,0.5610348221480211,1.0,3471,0,0.2727975533417787,65171017.14285714,0.4959955515305067,0.0606952394757952,0.5533954782056806,79761408.0,ok,,251.38453006744385
0,3,500,896,1,0.6498682431822574,0.48197305201733764,1.375,-9.970840615353557,9.970840615353557,2.2688519954681396,2.28481125831604,2.189163181634076,1.0,904,0,0.3143066847265092,67106523.428571425,0.6286133694530184,0.07142608019770408,0.886409657327086,72847360.0,ok,,186.73503994941711
0,4,550,896,3,0.6624350440541491,0.3966056634632418,4.275,-30.570148148693676,30.570148148693676,1.40826416015625,1.9269235134124756,0.7066132821335916,1.0,2776,0,0.3081029090004273,69880880.76190476,0.5601871072735042,0.07437901918579932,0.7083506614688942,79728640.0,ok,,271.2644944190979
0,5,200,128,4,0.6644525956441092,0.6350974223356807,1.3,-13.734673610211571,13.734673610211571,3.579624891281128,4.579262733459473,1.568637657015224,1.0,1269,0,0.10382063712836645,66629924.571428575,0.5191031856418322,0.49643162318638395,0.6930769247494862,77459456.0,ok,,273.14069390296936
0,6,150,896,1,0.49301139168285035,0.45846015226397746,1.025,-2.661926883100719,2.661926883100719,11.683950185775757,12.883740663528442,8.597819508839047,0.9239543726235742,263,20,0.09042247536947287,66330624.0,0.6028165024631525,0.07060023716517858,0.832138112842687,79654912.0,ok,,207.8224766254425
0,7,150,384,2,0.6531772397417802,0.49380777083542676,1.05,-5.048762054480604,5.048762054480604,7.885633945465088,8.08324384689331,4.281522769623614,1.0,470,0,0.07585719915936585,66334720.0,0.505714661062439,0.16474405924479166,0.7926285625041869,78512128.0,ok,,204.71841406822205
0,8,200,896,4,0.6543673295455394,0.41026554257860043,4.3,-14.025595358411922,14.025595358411922,3.598813772201538,4.578965902328491,1.5456278734747249,1.0,1289,0,0.10201371671880477,66183753.14285714,0.5100685835940238,0.07044391242825256,0.7361935781817545,79237120.0,ok,,313.78487515449524
0,9,550,384,3,0.6665480829090487,0.45355866173268744,2.7750000000000004,-30.446732832516815,30.446732832516815,1.509131908416748,1.8060424327850342,0.7093144096326137,1.0,2760,0,0.3020588087382045,67639588.57142857,0.5491978340694627,0.16798473539806547,0.7091497941684999,79712256.0,ok,,280.29851388931274
0,10,150,128,4,0.6600932687745368,0.6677480181662186,1.1,-9.655056078126744,9.655056078126744,6.408141613006592,7.520794868469238,2.222313032266958,1.0,899,0,0.08141724640603897,65253376.0,0.5427816427069264,0.486175537109375,0.7605753820355623,77164544.0,ok,,300.6334319114685
0,11,200,128,1,0.5543294918973697,0.696206718310554,0.325,-3.4102520172365307,3.4102520172365307,12.333754539489746,12.353081226348877,6.545667510562473,0.9662576687116564,326,11,0.12003783584333193,69680566.85714285,0.6001891792166596,0.5191606794084821,0.8073914639648582,78520320.0,ok,,192.1959569454193
1,0,350,256,4,0.6729610818031748,0.4443292600025334,2.4,-21.44408011599498,21.44408011599498,3.7211992740631104,4.1832873821258545,1.0090321157511943,1.0,1958,0,0.1712008032722137,66710528.0,0.48914515220632493,0.24851608276367188,0.6080493891456918,75325440.0,ok,,273.4208731651306
1,1,300,640,2,0.6544666772280137,0.47696816866918534,1.85,-11.291508351747996,11.291508351747996,3.492187023162842,3.7720916271209717,1.9155424540383474,1.0,1050,0,0.17363677805962,67272996.57142857,0.5787892601987333,0.10024457659040178,0.8391047943696207,77062144.0,ok,,222.2201952934265
1,2,500,256,1,0.6611113279158135,0.5640281679948103,0.75,-9.355087293237837,9.355087293237837,2.3938562870025635,2.406752824783325,2.3291144025698736,1.0,863,0,0.3047414486941999,64885906.28571428,0.6094828973883998,0.24171883719308035,0.8414962773958704,76922880.0,ok,,165.94434595108032
1,3,450,256,4,0.6749611866212941,0.4657099267356413,2.8,-31.933983445082596,31.933983445082596,1.595149040222168,2.145902156829834,0.6752648920888086,1.0,2904,0,0.23313289061188525,68458057.14285715,0.5180730902486339,0.2550261361258371,0.6353230517134701,79482880.0,ok,,299.770391702652
1,4,500,384,4,0.6673648545096595,0.43743747973783387,3.5,-35.73206367543403,35.73206367543403,1.4561021327972412,1.8580360412597656,0.6027875475353991,1.0,3251,0,0.26254164632715715,67773440.0,0.5250832926543143,0.1683171590169271,0.6808340252308761,78131200.0,ok,,285.3707346916199
1,5,400,384,4,0.6658954589887647,0.4234574800707196,3.1,-27.186320440951103,27.186320440951103,2.2499663829803467,2.7818264961242676,0.7932682414610223,1.0,2490,0,0.1982593421241201,66752804.571428575,0.49564835531030027,0.16578238351004465,0.6535861027195642,77844480.0,ok,,247.35097861289978
1,6,550,1024,3,0.6626951056876456,0.3666959161095959,4.65,-30.78211498111883,30.78211498111883,1.5382046699523926,1.9453752040863037,0.7003341293368972,1.0,2804,0,0.2901920389516578,68633356.1904762,0.5276218890030141,0.06391979399181548,0.6606837023363793,78069760.0,ok,,238.74283361434937
1,7,450,640,4,0.6636086426802522,0.3809399374140088,4.3,-31.59626280830062,31.59626280830062,1.690910816192627,2.0148959159851074,0.6829056437317192,1.0,2869,0,0.22364747260552478,67807524.57142857,0.4969943835678328,0.10104108537946428,0.6443933025623926,78843904.0,ok,,260.19926738739014
1,8,250,128,4,0.6633320583495769,0.6678866190680154,1.5,-17.679379481274456,17.679379481274456,2.6822497844696045,3.295602798461914,1.2220151023605403,1.0,1618,0,0.13687385626470308,66380507.428571425,0.5474954250588123,0.4945733206612723,0.7500188436047808,78618624.0,ok,,251.9740309715271
1,9,450,384,3,0.6702340188315996,0.42631218487753,2.4749999999999996,-24.90798152170902,24.90798152170902,1.8862345218658447,2.35864520072937,0.8678693302100671,1.0,2266,0,0.24879100395208828,67554547.8095238,0.5528688976713073,0.16777353438120038,0.6564980676717266,78970880.0,ok,,244.21788787841797
1,10,450,896,4,0.658350191029985,0.382279515324722,5.3,-32.35621454556842,32.35621454556842,1.6664819717407227,2.1881916522979736,0.6666623522980163,1.0,2934,0,0.21759298271627142,65595099.428571425,0.48353996159171425,0.06981736786511479,0.6809277876248904,78573568.0,ok,,262.71959948539734
