cpu_m,mem_mib,replicas,f1,f2,f3,crowding_distance,status,eval_time_s,fitness
700,256,4,0.42678762194239145,3.8,-50.89522040073048,0.0,ok,305.4132809638977,0.6828481845373886
550,256,4,0.44791710926228173,3.2,-39.15345212654555,0.0,ok,259.58651852607727,0.677179914881957
200,384,1,0.48004537545733683,0.575,-3.724486743867654,0.0,ok,208.96957659721375,0.5823895725256762
500,256,4,0.46341903777553245,3.0,-35.26546039516515,0.0,ok,268.6478946208954,0.6740301713725088
450,256,4,0.4657099267356413,2.8,-31.933983445082596,0.0,ok,299.770391702652,0.6749611866212941
500,128,4,0.6047145163440859,2.5,-35.78943019155457,0.0,ok,295.4173254966736,0.6704266287848984
600,256,4,0.44928106419026326,3.4,-43.114100783523,0.0,ok,279.082537651062,0.6789652553414314
600,256,3,0.5601869676604168,2.55,-33.48096317764696,0.0,ok,119.35014939308167,0.6563025713510134
500,256,3,0.5088914522557859,2.25,-27.743230138674893,0.0,ok,246.00126099586487,0.6687841079947798
450,256,3,0.5033291071058685,2.0999999999999996,-24.18897905134002,0.0,ok,255.7210988998413,0.6694906029756524
650,256,4,0.4365093197601542,3.6,-46.51240719091244,0.0,ok,255.14089727401733,0.6788749365684394
700,640,4,0.31577930753304373,5.3,-49.308867731688466,0.0,ok,261.9394817352295,0.6770908830602824
