cpu_m,mem_mib,replicas,f1,f2,f3,rank,crowding_distance,status,eval_time_s,fitness
450,256,4,0.4657099267356413,2.8,-31.933983445082596,-1,0.0,ok,299.770391702652,0.6749611866212941
400,896,2,0.4380879733769693,2.55,-14.466091505663849,-1,0.0,ok,221.2212414741516,0.6527422793596833
100,384,1,0.5222583777778669,0.475,-2.2844364229215577,-1,0.0,ok,176.8266942501068,0.40450248046495313
400,256,4,0.4986428327554279,2.6,-28.57568666345933,-1,0.0,ok,308.63854241371155,0.6698832723417207
450,384,4,0.4358956914842004,3.3,-32.43021034491973,-1,0.0,ok,290.14136242866516,0.6676616610138182
500,512,4,0.40998929681687296,4.0,-35.61216498589036,-1,0.0,ok,252.50790786743164,0.6633271326496942
400,512,4,0.3845056516215233,3.6,-28.059416113649167,-1,0.0,ok,257.06231689453125,0.667785179274689
200,256,4,0.5253885999198755,1.8,-13.26259875972945,-1,0.0,ok,243.8748140335083,0.6624886851869878
450,384,3,0.42631218487753,2.4749999999999996,-24.90798152170902,-1,0.0,ok,244.21788787841797,0.6702340188315996
400,256,3,0.5227279739288505,1.9500000000000002,-21.98569182619045,-1,0.0,ok,232.1183376312256,0.6683623828986786
550,256,4,0.44791710926228173,3.2,-39.15345212654555,-1,0.0,ok,259.58651852607727,0.677179914881957
400,384,4,0.4234574800707196,3.1,-27.186320440951103,-1,0.0,ok,247.35097861289978,0.6658954589887647
