cpu_m,mem_mib,replicas,f1,f2,f3,crowding_distance,status,eval_time_s
150,128,1,0.6873863012831561,0.275,-2.9540273705246585,inf,ok,163.2516474723816
700,1024,4,0.3128948295164746,6.8,-49.40521524638845,inf,ok,275.82803106307983
600,256,1,0.27721346002163294,0.85,-6.979602433060719,inf,ok,130.3541555404663
250,128,1,0.7316591366708113,0.375,-4.479179872676727,inf,ok,207.35576581954956
600,256,2,0.5259102488163988,1.7,-22.331463463122667,0.5191882558885286,ok,200.75156950950623
650,896,3,0.3693107414402643,4.574999999999999,-34.81231118689877,0.510098790746055,ok,326.8342306613922
700,512,4,0.32063845075946545,4.8,-48.89259057884806,0.4928531119610639,ok,275.8348639011383
550,128,3,0.6263042089311894,2.0250000000000004,-29.691252119933452,0.4261794527380296,ok,250.9473853111267
700,128,3,0.641249832158434,2.4749999999999996,-38.28246345486092,0.4088499582251345,ok,262.26161885261536
700,128,4,0.5640221100273586,3.3,-48.117835136426784,0.4045767093422425,ok,341.26190400123596
700,512,3,0.3962779140657318,3.5999999999999996,-37.946916630513556,0.384577755086702,ok,265.52957916259766
150,896,3,0.4213311861313311,3.0749999999999997,-7.637054930136238,0.2852042473420478,ok,253.9528214931488
