cpu_m,mem_mib,replicas,f1,f2,f3,rank,crowding_distance,status,eval_time_s
550,896,4,0.34841085996805327,5.7,-39.756940534449534,0,inf,ok,343.5681550502777
200,128,1,0.722287762410815,0.325,-3.678659593510955,0,inf,ok,230.66762351989746
150,128,1,0.6873863012831561,0.275,-2.9540273705246585,0,inf,ok,163.2516474723816
500,896,3,0.4054462008182916,4.125,-27.274908959710395,0,0.5456723427292555,ok,374.3386971950531
700,768,1,0.48379085645322034,1.45,-13.602093864172371,0,0.5417716532840031,ok,213.46158862113953
200,256,3,0.5435241472973127,1.35,-10.35034681614789,0,0.5387564510513251,ok,314.77436995506287
200,128,3,0.6847744657322051,0.9750000000000001,-10.65682078773661,0,0.5248641952193409,ok,361.22775626182556
450,896,4,0.37302661901976475,5.3,-32.59620615430078,0,0.4535565970552943,ok,268.54008078575134
550,384,4,0.40901283047779424,3.7,-39.69867136527113,0,0.4077662356698081,ok,344.786408662796
500,384,3,0.4471394186064178,2.625,-27.762341615285646,0,0.35999883207643885,ok,280.30906772613525
450,768,4,0.38847851029046415,4.8,-31.781812401633218,0,0.33546174528427836,ok,332.6651711463928
200,896,3,0.42312977346993247,3.2249999999999996,-10.651547340017114,0,0.30846043313641197,ok,336.3856861591339
