cpu_m,mem_mib,replicas,f1,f2,f3,rank,crowding_distance,status,eval_time_s
150,128,1,0.6873863012831561,0.275,-2.9540273705246585,0,inf,ok,163.2516474723816
700,1024,4,0.3128948295164746,6.8,-49.40521524638845,0,inf,ok,275.82803106307983
600,256,1,0.27721346002163294,0.85,-6.979602433060719,0,inf,ok,130.3541555404663
250,128,1,0.7316591366708113,0.375,-4.479179872676727,0,inf,ok,207.35576581954956
700,512,4,0.32063845075946545,4.8,-48.89259057884806,0,0.47809871556342687,ok,275.8348639011383
600,256,2,0.5259102488163988,1.7,-22.331463463122667,0,0.4628017420398439,ok,200.75156950950623
700,896,1,0.4547185878176539,1.575,-13.881465287424962,0,0.41747335607268293,ok,252.2642047405243
650,384,4,0.4045066558153167,4.1,-45.55257748061577,0,0.3860896238205063,ok,271.2867600917816
550,128,3,0.6263042089311894,2.0250000000000004,-29.691252119933452,0,0.35528011601569187,ok,250.9473853111267
600,384,1,0.48603420457390173,0.975,-11.798831460858947,0,0.3485517295927843,ok,225.40965843200684
650,896,3,0.3693107414402643,4.574999999999999,-34.81231118689877,0,0.3472287657855668,ok,326.8342306613922
700,128,3,0.641249832158434,2.4749999999999996,-38.28246345486092,0,0.3340293157549643,ok,262.26161885261536
