generation,idx,cpu_m,mem_mib,replicas,f1,f2,f3,throughput_rps,cpu_throttle_rate,mem_peak_ratio,rank,crowding_distance,status,eval_time_s
0,0,100,640,2,0.4744538549142394,1.45,-3.2513742283687215,3.2513742283687215,0.8335878856097289,0.11531982421875,2,inf,ok,218.01456952095032
0,1,450,768,1,0.4510023121562414,1.2,-8.760882687432478,8.760882687432478,0.8124101012005037,0.08959452311197917,0,0.13995448033855773,ok,176.59602737426758
0,2,450,1024,1,0.4729768321398301,1.45,-8.699689462975051,8.699689462975051,0.8747714133030977,0.0711822509765625,1,inf,ok,188.57477355003357
0,3,500,896,3,0.4054462008182916,4.125,-27.274908959710395,27.274908959710395,0.7267859563240832,0.0841064453125,0,0.15162102155283763,ok,374.3386971950531
0,4,550,896,4,0.34841085996805327,5.7,-39.756940534449534,39.756940534449534,0.6120177299807494,0.08480398995535714,1,inf,ok,343.5681550502777
0,5,200,128,1,0.722287762410815,0.325,-3.678659593510955,3.678659593510955,0.8743850951341301,0.5701904296875,0,0.12991448309227097,ok,230.66762351989746
0,6,150,896,2,0.4517629482309004,2.05,-4.9416144983907895,4.9416144983907895,0.8193409773769794,0.08418491908482142,1,inf,ok,226.25183296203613
0,7,150,384,4,0.47563047505382394,2.1,-10.017465230341058,10.017465230341058,0.7590612430763979,0.19219970703125,0,0.2773281132642619,ok,274.9306597709656
0,8,200,896,3,0.42312977346993247,3.2249999999999996,-10.651547340017114,10.651547340017114,0.7645727096072756,0.08168683733258929,0,0.21907407486241032,ok,336.3856861591339
0,9,550,384,4,0.40901283047779424,3.7,-39.69867136527113,39.69867136527113,0.6202208920753801,0.19780476888020834,0,0.199000104065761,ok,344.786408662796
0,10,150,128,1,0.6873863012831561,0.275,-2.9540273705246585,2.9540273705246585,0.8699508252225623,0.50482177734375,0,0.14221183655334335,ok,163.2516474723816
0,11,200,128,2,0.7025081868344702,0.65,-7.306887708256902,7.306887708256902,0.8202385416376904,0.58477783203125,0,0.29132808025514445,ok,203.5367202758789
1,0,550,896,4,0.34841085996805327,5.7,-39.756940534449534,39.756940534449534,0.6120177299807494,0.08480398995535714,1,inf,ok,343.5681550502777
1,1,200,128,1,0.722287762410815,0.325,-3.678659593510955,3.678659593510955,0.8743850951341301,0.5701904296875,0,0.12991448309227097,ok,230.66762351989746
1,2,150,128,1,0.6873863012831561,0.275,-2.9540273705246585,2.9540273705246585,0.8699508252225623,0.50482177734375,0,0.14221183655334335,ok,163.2516474723816
