cpu_m,mem_mib,replicas,f1,f2,f3,crowding_distance,status,eval_time_s
600,256,1,0.5636178078366177,0.85,-11.041536330696735,0.15179992351638041,ok,159.45515632629395
250,384,1,0.3308425656711308,0.625,-4.762786011276449,0.07934754621621017,ok,217.58356380462646
600,256,4,0.4609906795320593,3.4,-41.87392135566742,0.1424640508672948,ok,273.76745200157166
100,128,1,0.6862777661818946,0.225,-2.2737975348231374,inf,ok,235.7901737689972
500,512,4,0.4153058655111432,4.0,-35.856189993932624,0.24876934202346743,ok,380.517840385437
700,128,2,0.6337248918445471,1.65,-26.273014488173622,0.15854572542123632,ok,259.334591627121
650,896,3,0.3609802715437078,4.574999999999999,-35.32165112247362,0.1609796750187799,ok,259.7455859184265
300,384,2,0.4692154617866409,1.35,-10.402997295310602,0.01858498902085392,ok,210.01103687286377
700,768,1,0.43544658856022117,1.45,-13.305295799075074,0.0762716617829196,ok,177.34537434577942
700,128,4,0.5804504163858883,3.3,-47.693014172512,inf,ok,276.68967485427856
500,256,4,0.4218346613436173,3.0,-35.78629367325177,0.1273959360087436,ok,320.1005115509033
550,512,1,0.5068413636072729,1.05,-10.788135601622562,0.024715411505676955,ok,218.3016848564148
600,640,1,0.49284406533531444,1.225,-11.603170889066227,0.09985081069500856,ok,194.55476331710815
550,384,2,0.46984349650891305,1.85,-21.24805587839708,0.23178512387022968,ok,222.26597952842712
700,128,2,0.6337248918445471,1.65,-26.273014488173622,0.08102105723921088,ok,259.334591627121
300,256,2,0.5359207257600722,1.1,-11.309828466551764,0.13349541353594013,ok,256.03395342826843
600,1024,4,0.33001682825921763,6.4,-42.65675769355427,inf,ok,295.09477066993713
300,384,2,0.4692154617866409,1.35,-10.402997295310602,0.02489473466287253,ok,210.01103687286377
650,640,4,0.35814026618876366,5.1,-45.79693170851662,0.28753651959880483,ok,358.71499037742615
550,896,3,0.3745239629542599,4.275,-29.983152466670692,0.2679009662027744,ok,260.95164918899536
150,128,1,0.7171646914014309,0.275,-2.9701229686049286,0.08231198810876161,ok,223.05564498901367
550,256,4,0.46842999943271696,3.2,-36.855912831606055,0.12955889390820574,ok,355.37354373931885
500,128,1,0.7191629144309486,0.625,-9.632586706871114,inf,ok,164.09392070770264
500,256,3,0.4851019895481766,2.25,-26.320188971473172,0.08385057991423661,ok,262.79754614830017
600,512,2,0.4428635592631605,2.2,-21.961025145903445,0.1839579296546725,ok,191.33657550811768
350,384,1,0.5042419934284684,0.725,-6.431236684887591,0.14787807729395192,ok,177.24773478507996
550,768,4,0.32803334089953545,5.2,-38.57896383315171,inf,ok,415.7583782672882
700,640,2,0.4294005315678828,2.65,-26.673066945500018,0.1329475930371211,ok,199.19751024246216
100,512,1,0.43418215454111914,0.6,-2.29645117614833,0.04293476311716367,ok,221.43037033081055
700,384,2,0.46049236074302957,2.15,-26.190435723674135,0.18986611311643223,ok,298.54294419288635
500,1024,1,0.41901287024611517,1.5,-9.71299428482405,0.06604303645996985,ok,214.00611329078674
350,128,2,0.6520353284370711,0.95,-12.52243107110339,0.1898908223437324,ok,228.8897533416748
550,512,1,0.5068413636072729,1.05,-10.788135601622562,0.029253926416345985,ok,218.3016848564148
150,128,2,0.7084300476467891,0.55,-5.277025179891674,0.10878008359799762,ok,185.86251044273376
500,384,4,0.38001203258549643,3.5,-35.07191277109281,0.23770034748841617,ok,260.51941180229187
250,256,1,0.5816203382482628,0.5,-4.482368115349924,0.20157235994071207,ok,177.6398105621338
600,896,3,0.36034864517416193,4.425000000000001,-33.67441569804268,0.16657163076151826,ok,340.8211290836334
650,128,1,0.7176369705548934,0.775,-12.76640413824324,0.03968728601366993,ok,225.74475479125977
700,256,2,0.5209909058939031,1.9,-26.84261157795499,0.18313152636391894,ok,260.2103838920593
100,128,1,0.6862777661818946,0.225,-2.2737975348231374,inf,ok,235.7901737689972
700,512,2,0.36046702834379823,2.4,-26.651269673147414,0.07416155952509229,ok,189.67219424247742
250,896,1,0.48671441265246207,1.125,-4.806031342516048,0.051359122334078355,ok,169.31125783920288
250,128,1,0.7137675604627021,0.375,-4.651794950914438,0.0647763407384766,ok,190.8406355381012
650,768,1,0.43743657685602627,1.4,-12.654187745811518,0.04052886483747244,ok,202.25521397590637
400,256,2,0.5117997628947291,1.3,-15.117155470826303,0.23129565607978098,ok,260.5408706665039
550,128,1,0.7084952647326392,0.675,-10.87330918228013,0.03541988996429715,ok,220.63886713981628
